,up,across
0,16625672.47924299,0.0328599324760066
1,26036608.66342389,0.0251188643150957
2,40774590.71436891,0.0184784979742228
3,66784445.53469247,0.0130817747426019
4,109385823.06368928,0.010797751623277
5,171303498.97073656,0.010797751623277
6,256502090.5680051,0.01
7,351119173.4215141,0.0079432823472428
8,459555176.40550005,0.0065564184941798
9,657933224.6575682,0.0054116952654646
10,941945930.1799856,0.0046415888336127
11,1542807311.3327942,0.0036869450645195
12,2764129853.870578,0.0023263050671536
13,3957333007.0046487,0.0015848931924611
14,6481690828.49448,0.0007079457843841
15,8483428982.440761,0.0003686945064519
16,10616320618.413006,0.0001995262314968
17,12145505204.02733,9.62350626398e-05
18,13285460832.66851,5.01187233627e-05
19,15896397032.896194,2.32630506715e-05
20,17388404731.905384,1.07977516232e-05
21,19020449633.64012,3.8311868495e-06
22,20805675382.1718,1.2589254117e-06
