,up,across
0,16625672.47924299,0.0707945784384137
1,24894527.978983518,0.0584341413373516
2,34077484.777388155,0.0429866234708227
3,40774590.71436891,0.0368694506451957
4,63854984.70312941,0.0281838293126444
5,79909314.03980978,0.0251188643150957
6,104587677.60290392,0.0207332157348595
7,163789370.6954068,0.0152522295653901
8,268269579.52797276,0.010797751623277
9,401694702.0824115,0.0082540418526801
10,601479429.6281798,0.0065564184941798
11,1289405773.1855783,0.0044668359215096
12,2019271916.170997,0.0028183829312644
13,2642882906.6894217,0.0021544346900318
14,3459083446.1343565,0.0014125375446227
15,4527350892.858486,0.000962350626398
16,5417092279.038372,0.0007356422544596
17,6197375232.963931,0.0005411695265464
18,7415319536.585766,0.0003686945064519
19,8872621353.826384,0.0002610157215682
20,10616320618.413006,0.0001711328304161
21,11612749687.531216,0.0001211527658628
22,12702701826.032024,7.64422274252e-05
23,14532410679.618517,4.64158883361e-05
24,15896397032.896194,3.2859932476e-05
25,17388404731.905384,2.15443469003e-05
26,19893046541.45425,1.30817747426e-05
27,22758459260.74791,7.9432823472e-06
28,27231084327.63153,3.9810717055e-06
29,35640849914.15331,1.2589254117e-06
