,up,across
0,20794528.170178,0.0015063238028912
1,31288363.289259296,0.001399685170067
2,47077849.96654189,0.0012987247859892
3,70835407.3040647,0.0012033130937637
4,106582074.82921946,0.0011181257901227
5,160368085.78143844,0.0010374745039391
6,241296887.6653191,0.0009626406579939
7,363065928.6930795,0.0008932046357809
8,546284992.9527478,0.0008287770880602
9,821964469.6477709,0.0007667856827462
10,1362152438.715347,0.000673979726472
11,1727666485.5631068,0.0006084048881833
12,2541684828.278625,0.0005514562714243
13,3118859764.1923504,0.0004844857610829
14,3963586087.367197,0.0004373972644014
15,5885200096.338487,0.0003332059377255
16,7948229043.567186,0.0002557525914987
17,10907291137.69363,0.0001765473648659
18,13651166855.607304,0.0001340760626047
19,16279417282.397535,0.0001015364279813
20,19186134718.20885,7.33396936449e-05
21,23157210503.85152,5.41489103784e-05
22,29196121458.543262,3.49396460975e-05
23,34995943432.502655,2.2858782902e-05
24,41362259040.83515,1.56929783024e-05
25,47987223512.502495,1.12530848385e-05
26,55673303969.3372,8.0374514412e-06
27,64590458626.02733,5.6729216024e-06
28,74935867787.15865,4.0358414932e-06
29,86938293990.5574,2.8598415429e-06
30,100863140511.7836,2.1762056625e-06
31,117018320085.7928,1.476365398e-06
32,137027526276.851,7.413266227670463e-07
