RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.97001,-27.76562,103.0074,367.5,483.4,4.96,0.00178,9,37,0.0,0.808,22,aless101,spw2123
52.96334,-27.75607,103.9607,560.8,796.0,4.95,0.005157,11,41,0.0,0.629,23,aless101,spw2123
52.96278,-27.75495,104.4295,576.8,832.8,4.87,0.004248,9,47,0.0,0.761,24,aless101,spw2123
52.96818,-27.76175,102.523,420.6,610.2,4.85,0.004362,9,52,0.0,0.75,25,aless101,spw2123
52.96265,-27.77275,103.695,580.8,250.1,4.78,0.004312,9,74,0.0,0.709,26,aless101,spw2123
52.96624,-27.76448,104.242,476.8,520.8,4.73,0.004257,9,84,0.0,0.679,27,aless101,spw2123
52.96685,-27.76674,103.0856,458.9,446.7,4.72,0.003826,9,89,0.0,0.672,28,aless101,spw2123
52.97333,-27.76277,102.3042,271.3,576.8,4.71,0.00397,9,95,0.0,0.666,29,aless101,spw2123
52.95516,-27.76112,103.0074,797.5,630.8,4.65,0.001672,9,118,0.0,0.627,30,aless101,spw2123
53.197,-27.52418,90.2757,704.4,387.9,6.08,0.00512,9,0,0.867,1.0,31,aless112,spw1719
53.19194,-27.51529,91.7916,851.4,678.9,5.75,0.002282,3,1,0.416,0.995,32,aless112,spw1719
53.19687,-27.51527,90.5883,708.4,679.7,5.32,0.003216,5,3,0.026,0.645,33,aless112,spw1719
53.20878,-27.52534,90.057,362.5,350.1,5.29,0.004591,9,4,0.02,0.869,34,aless112,spw1719
53.19397,-27.52182,90.3539,792.3,465.3,5.25,0.0044,9,5,0.013,0.771,35,aless112,spw1719
53.19785,-27.531,90.7914,679.7,164.9,5.25,0.003178,5,6,0.013,0.606,36,aless112,spw1719
53.20613,-27.51708,92.4948,439.6,620.3,5.14,0.005871,17,9,0.004,1.0,37,aless112,spw1719
53.20833,-27.52371,90.1038,375.6,403.3,5.11,0.006197,17,12,0.003,1.0,38,aless112,spw1719
53.20711,-27.51236,92.2916,410.9,774.9,4.94,0.005199,15,21,0.0,0.677,39,aless112,spw1719
53.21306,-27.52706,91.0571,238.4,293.7,4.85,0.004965,15,34,0.0,0.614,40,aless112,spw1719
53.19209,-27.52744,90.1038,847.0,281.4,4.83,0.005848,17,36,0.0,1.0,41,aless112,spw1719
53.2073,-27.52972,91.4009,405.6,206.6,4.81,0.00497,17,38,0.0,1.0,42,aless112,spw1719
53.20997,-27.5297,90.8383,328.1,207.4,4.77,0.005558,17,50,0.0,0.998,43,aless112,spw1719
53.20949,-27.50816,90.8071,342.0,912.4,4.77,0.005572,17,46,0.0,0.998,44,aless112,spw1719
53.20061,-27.51785,90.1195,599.7,595.2,4.75,0.005732,17,58,0.0,0.989,45,aless112,spw1719
53.21282,-27.53022,91.2602,245.2,190.5,4.72,0.004971,17,69,0.0,0.934,46,aless112,spw1719
53.19922,-27.52901,90.6195,640.1,229.9,4.71,0.005569,17,71,0.0,0.894,47,aless112,spw1719
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1.0,1.0,48,aless112,spw2123
53.21329,-27.52038,101.1791,231.7,512.3,6.63,0.005603,9,3,0.977,1.0,51,aless112,spw2123
53.21129,-27.52205,103.9138,289.8,457.8,6.04,0.004079,5,4,0.718,0.969,52,aless112,spw2123
