,Unnamed: 0,RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
67369,67369,53.07483,-27.8761,98.2821,513.1,506.8,5.95,0.005593,17,20,0.343,0.938,21,aless34,spw2123
67370,67370,53.08003,-27.86758,98.2665,362.7,785.6,5.94,0.005524,17,21,0.334,0.936,22,aless34,spw2123
67371,67371,53.07668,-27.87512,97.1414,459.6,539.0,5.77,0.005057,17,22,0.201,0.901,23,aless34,spw2123
67372,67372,53.08169,-27.8673,98.2821,314.6,794.7,5.74,0.0057,19,23,0.181,0.623,24,aless34,spw2123
67375,67375,53.07513,-27.87557,98.3134,504.5,524.2,5.66,0.004652,13,26,0.135,0.923,27,aless34,spw2123
67376,67376,53.07379,-27.88654,97.0945,543.2,165.3,5.62,0.001848,3,27,0.115,0.671,28,aless34,spw2123
67384,67384,53.07565,-27.87449,97.407,489.2,559.6,5.43,0.004758,17,35,0.049,0.793,36,aless34,spw2123
67385,67385,53.08585,-27.8727,97.829,194.2,618.1,5.43,0.004758,15,36,0.049,0.724,37,aless34,spw2123
67386,67386,53.07568,-27.87491,98.2509,488.6,545.9,5.41,0.004706,15,37,0.044,0.714,38,aless34,spw2123
67388,67388,53.08212,-27.88608,97.3914,302.3,180.2,5.38,0.004722,17,39,0.038,0.773,40,aless34,spw2123
67394,67394,53.08086,-27.86808,97.7665,338.5,769.4,5.29,0.004405,13,45,0.023,0.776,46,aless34,spw2123
67395,67395,53.07562,-27.87665,97.4696,490.1,488.8,5.28,0.004112,13,46,0.022,0.771,47,aless34,spw2123
67396,67396,53.07181,-27.88718,97.4852,600.6,144.2,5.27,0.004722,17,47,0.021,0.725,48,aless34,spw2123
67402,67402,53.07501,-27.87473,98.1884,507.9,551.5,5.23,0.004164,13,52,0.016,0.743,54,aless34,spw2123
67405,67405,53.07485,-27.87528,97.4539,512.6,533.6,5.22,0.004019,13,54,0.015,0.737,57,aless34,spw2123
67406,67406,53.07526,-27.87616,97.4852,500.7,504.8,5.21,0.004407,15,57,0.014,0.603,58,aless34,spw2123
67410,67410,53.07437,-27.87634,97.4383,526.3,499.0,5.17,0.003936,13,61,0.011,0.707,62,aless34,spw2123
67412,67412,53.07699,-27.86999,97.7508,450.6,706.9,5.16,0.004342,13,63,0.011,0.701,64,aless34,spw2123
67421,67421,53.07479,-27.87578,96.6882,514.3,517.2,5.09,0.004785,17,72,0.007,0.637,73,aless34,spw2123
67422,67422,53.07541,-27.88406,98.4072,496.2,246.4,5.09,0.004799,17,74,0.007,0.637,74,aless34,spw2123
67427,67427,53.08061,-27.88536,97.3758,345.9,203.8,5.07,0.004464,17,76,0.006,0.626,79,aless34,spw2123
67431,67431,53.07612,-27.88416,98.3915,475.7,243.0,5.04,0.004774,17,83,0.005,0.61,83,aless34,spw2123
77265,77265,52.79195,-27.87687,97.4882,187.2,189.1,25.2,0.016296,17,0,1.0,1.0,1,aless41,allspw
77266,77266,52.79201,-27.87685,97.5975,186.4,189.4,19.02,0.008252,11,1,1.0,1.0,2,aless41,allspw
77267,77267,52.79185,-27.87687,97.3788,188.4,189.1,18.33,0.00799,11,2,1.0,1.0,3,aless41,allspw
77268,77268,52.79202,-27.87683,97.7069,186.3,189.7,11.77,0.006321,19,3,1.0,1.0,4,aless41,allspw
77269,77269,52.79185,-27.87686,97.2694,188.5,189.2,9.68,0.005285,19,4,1.0,1.0,5,aless41,allspw
77270,77270,52.7909,-27.87376,87.1911,200.6,233.9,8.99,0.004344,19,5,1.0,1.0,6,aless41,allspw
77271,77271,52.79092,-27.87377,87.7067,200.3,233.7,8.36,0.00434,19,6,1.0,1.0,7,aless41,allspw
77272,77272,52.7909,-27.87377,87.3004,200.5,233.8,7.95,0.003983,19,7,1.0,1.0,8,aless41,allspw
77273,77273,52.79087,-27.87376,87.5973,200.9,233.9,7.76,0.003996,19,8,1.0,1.0,9,aless41,allspw
77274,77274,52.79086,-27.87372,88.3005,201.1,234.4,7.64,0.004139,19,9,1.0,1.0,10,aless41,allspw
77275,77275,52.79092,-27.87376,87.8161,200.3,233.8,7.5,0.003857,19,10,1.0,1.0,11,aless41,allspw
77276,77276,52.79082,-27.87375,88.1911,201.6,234.0,7.47,0.004264,19,11,1.0,1.0,12,aless41,allspw
77277,77277,52.79088,-27.87377,86.6754,200.8,233.7,7.38,0.003559,19,12,1.0,1.0,13,aless41,allspw
77278,77278,52.79089,-27.87369,85.8004,200.7,234.9,7.36,0.004258,19,13,1.0,1.0,14,aless41,allspw
77279,77279,52.79084,-27.87371,98.1288,201.3,234.6,7.36,0.003992,19,14,1.0,1.0,15,aless41,allspw
77280,77280,52.79091,-27.87376,87.0817,200.5,233.9,7.25,0.003696,19,15,1.0,1.0,16,aless41,allspw
77281,77281,52.79086,-27.87375,88.0817,201.1,234.0,7.21,0.003935,19,16,1.0,1.0,17,aless41,allspw
77282,77282,52.79081,-27.87382,87.4567,201.7,233.0,7.12,0.003469,19,17,1.0,1.0,18,aless41,allspw
77283,77283,52.7908,-27.87371,97.9882,201.8,234.6,7.04,0.003687,19,18,1.0,1.0,19,aless41,allspw
77284,77284,52.79086,-27.87372,100.1289,201.1,234.5,6.87,0.00377,19,19,1.0,1.0,20,aless41,allspw
77285,77285,52.79091,-27.87377,85.5973,200.4,233.8,6.71,0.003972,19,20,1.0,1.0,21,aless41,allspw
77286,77286,52.79088,-27.87372,86.7848,200.9,234.4,6.55,0.003034,19,21,1.0,1.0,22,aless41,allspw
77287,77287,52.79089,-27.87375,87.9567,200.7,234.0,6.54,0.003434,19,22,1.0,1.0,23,aless41,allspw
77288,77288,52.79097,-27.87373,86.4254,199.7,234.3,6.3,0.003368,19,23,1.0,1.0,24,aless41,allspw
77289,77289,52.79085,-27.87369,98.2382,201.3,234.9,6.29,0.003543,19,24,1.0,1.0,25,aless41,allspw
77290,77290,52.79091,-27.87373,99.6913,200.4,234.3,6.15,0.003489,17,25,1.0,0.986,26,aless41,allspw
77291,77291,52.7909,-27.87373,86.9254,200.6,234.3,6.15,0.003253,19,26,1.0,1.0,27,aless41,allspw
77292,77292,52.79091,-27.87383,86.5348,200.4,232.9,6.12,0.003118,19,27,1.0,1.0,28,aless41,allspw
77293,77293,52.79084,-27.87377,100.2382,201.4,233.8,6.1,0.002536,19,28,1.0,1.0,29,aless41,allspw
77294,77294,52.79087,-27.87381,97.7225,201.0,233.1,5.82,0.003088,19,29,1.0,1.0,30,aless41,allspw
77295,77295,52.7909,-27.87371,88.4098,200.5,234.6,5.81,0.002358,19,30,1.0,1.0,31,aless41,allspw
77296,77296,52.79093,-27.87377,85.0973,200.2,233.7,5.81,0.003227,19,31,1.0,1.0,32,aless41,allspw
77297,77297,52.79087,-27.87372,100.0195,201.0,234.4,5.75,0.003313,19,32,1.0,1.0,33,aless41,allspw
77298,77298,52.79095,-27.87374,86.3004,200.0,234.2,5.75,0.002999,19,33,1.0,1.0,34,aless41,allspw
77299,77299,52.79095,-27.87372,85.2066,199.9,234.4,5.71,0.003234,19,34,1.0,1.0,35,aless41,allspw
77300,77300,52.79085,-27.87368,97.1913,201.2,234.9,5.61,0.00297,19,35,1.0,1.0,36,aless41,allspw
77301,77301,52.79085,-27.87376,97.5975,201.3,233.9,5.6,0.00327,19,36,0.999,1.0,37,aless41,allspw
77302,77302,52.79076,-27.87375,97.8788,202.4,234.0,5.59,0.002848,19,37,0.998,1.0,38,aless41,allspw
77303,77303,52.8034,-27.88917,85.1441,41.5,12.0,5.58,0.001465,5,38,0.996,0.759,39,aless41,allspw
77304,77304,52.79093,-27.87372,99.5663,200.2,234.4,5.57,0.003399,19,39,0.992,1.0,40,aless41,allspw
77305,77305,52.79089,-27.87372,98.6601,200.7,234.4,5.56,0.002783,17,40,0.985,0.892,41,aless41,allspw
77306,77306,52.79092,-27.87375,85.441,200.3,234.0,5.56,0.003275,19,41,0.985,1.0,42,aless41,allspw
77307,77307,52.77997,-27.88354,98.6913,339.7,93.0,5.5,0.001009,3,42,0.797,0.619,43,aless41,allspw
77308,77308,52.79085,-27.87367,85.941,201.2,235.2,5.48,0.003047,19,43,0.648,1.0,44,aless41,allspw
77309,77309,52.79086,-27.87375,99.8007,201.1,234.0,5.47,0.003231,19,44,0.562,1.0,45,aless41,allspw
77310,77310,52.79112,-27.87374,98.8788,197.7,234.2,5.43,0.003033,19,45,0.228,1.0,46,aless41,allspw
77311,77311,52.79078,-27.87374,97.3632,202.1,234.2,5.4,0.003181,19,46,0.078,0.999,47,aless41,allspw
77312,77312,52.79095,-27.87371,85.3316,199.9,234.6,5.34,0.003059,19,47,0.003,0.999,48,aless41,allspw
77313,77313,52.78873,-27.86782,98.5038,228.2,319.3,5.29,0.002575,19,48,0.0,0.998,49,aless41,allspw
77315,77315,52.79076,-27.8737,98.3476,202.4,234.7,5.21,0.002941,19,50,0.0,0.995,51,aless41,allspw
77322,77322,52.79769,-27.88586,87.2223,114.1,59.6,5.1,0.001841,11,57,0.0,0.635,58,aless41,allspw
77324,77324,52.79075,-27.87376,97.4882,202.5,233.8,5.06,0.003443,19,59,0.0,0.977,60,aless41,allspw
77328,77328,52.79089,-27.8737,99.3632,200.7,234.7,5.01,0.002931,19,63,0.0,0.965,64,aless41,allspw
77331,77331,52.80014,-27.87461,87.9098,82.9,221.6,4.93,0.0021,13,66,0.0,0.712,67,aless41,allspw
77336,77336,52.7959,-27.87747,86.0192,136.9,180.5,4.92,0.002583,19,67,0.0,0.931,72,aless41,allspw
77342,77342,52.79093,-27.87379,84.9879,200.2,233.4,4.89,0.002114,19,77,0.0,0.915,78,aless41,allspw
77354,77354,52.79958,-27.86677,85.7848,90.1,334.6,4.84,0.002794,19,90,0.0,0.883,90,aless41,allspw
77362,77362,52.78824,-27.88089,99.4101,234.5,131.2,4.81,0.002308,13,97,0.0,0.655,98,aless41,allspw
77364,77364,52.80547,-27.87268,87.4723,15.1,249.3,4.8,0.002338,19,99,0.0,0.851,100,aless41,allspw
77372,77372,52.79769,-27.8679,100.0038,114.1,318.3,4.78,0.002754,19,104,0.0,0.834,108,aless41,allspw
77379,77379,52.79939,-27.88906,98.8163,92.5,13.6,4.74,0.002157,13,114,0.0,0.621,115,aless41,allspw
77381,77381,52.7805,-27.87476,98.2226,333.0,219.5,4.74,0.002641,19,116,0.0,0.794,117,aless41,allspw
77382,77382,52.79085,-27.87373,99.9101,201.2,234.3,4.73,0.00267,19,118,0.0,0.784,118,aless41,allspw
77384,77384,52.79086,-27.87368,86.191,201.1,235.0,4.73,0.002481,19,119,0.0,0.784,120,aless41,allspw
77391,77391,52.80152,-27.87974,85.6129,65.4,147.7,4.7,0.00276,19,127,0.0,0.75,127,aless41,allspw
77396,77396,52.7848,-27.88191,87.2067,278.2,116.5,4.68,0.002265,19,131,0.0,0.726,132,aless41,allspw
77407,77407,52.78781,-27.87646,98.2694,239.8,195.0,4.66,0.002663,19,142,0.0,0.7,143,aless41,allspw
77415,77415,52.79081,-27.87371,98.4726,201.7,234.6,4.64,0.002292,19,147,0.0,0.674,151,aless41,allspw
87123,87123,52.85295,-27.84637,87.6598,175.0,163.6,25.14,0.013938,13,0,1.0,1.0,1,aless49,allspw
87124,87124,52.85291,-27.84637,87.7692,175.5,163.7,19.64,0.011894,19,1,1.0,1.0,2,aless49,allspw
87125,87125,52.85295,-27.84639,87.5504,175.0,163.4,18.27,0.010307,19,2,1.0,1.0,3,aless49,allspw
87126,87126,52.85286,-27.84638,87.8786,176.1,163.5,7.3,0.004009,19,3,1.0,1.0,4,aless49,allspw
87127,87127,52.85292,-27.8464,87.4411,175.3,163.2,7.18,0.003613,19,4,1.0,1.0,5,aless49,allspw
87128,87128,52.85292,-27.84546,87.9879,175.4,176.8,6.16,0.002551,11,5,0.954,1.0,6,aless49,allspw
87129,87129,52.86092,-27.85384,98.9413,73.6,56.2,5.96,0.00156,5,6,0.842,0.957,7,aless49,allspw
87130,87130,52.85127,-27.84234,96.8006,196.4,221.8,5.66,0.002106,15,7,0.493,0.972,8,aless49,allspw
87131,87131,52.8529,-27.83717,88.0504,175.6,296.1,5.59,0.002668,15,8,0.399,0.965,9,aless49,allspw
87132,87132,52.84234,-27.8488,96.9256,310.1,128.7,5.46,0.002455,13,9,0.243,0.996,10,aless49,allspw
87134,87134,52.84375,-27.85423,99.8788,292.1,50.5,5.36,0.003116,19,11,0.15,0.917,12,aless49,allspw
87136,87136,52.85451,-27.84151,86.0817,155.2,233.6,5.26,0.002359,13,13,0.084,0.612,14,aless49,allspw
87137,87137,52.8519,-27.85345,85.1129,188.3,61.7,5.24,0.002164,11,14,0.074,0.9,15,aless49,allspw
87138,87138,52.84002,-27.84472,86.6598,339.7,187.5,5.21,0.00158,11,15,0.061,0.888,16,aless49,allspw
87139,87139,52.86226,-27.83659,99.2851,56.5,304.5,5.15,0.002931,19,16,0.04,0.659,17,aless49,allspw
87140,87140,52.85433,-27.84522,98.4882,157.4,180.3,5.14,0.00253,19,17,0.037,0.642,18,aless49,allspw
87145,87145,52.84867,-27.8359,86.6442,229.5,314.4,5.06,0.001999,15,22,0.02,0.85,23,aless49,allspw
87153,87153,52.86006,-27.83628,88.2379,84.5,309.0,4.96,0.001984,11,30,0.008,0.745,31,aless49,allspw
87157,87157,52.85527,-27.84649,98.8788,145.5,162.0,4.95,0.002375,15,32,0.008,0.809,35,aless49,allspw
87158,87158,52.85448,-27.83957,86.6598,155.5,261.6,4.94,0.001968,15,35,0.007,0.805,36,aless49,allspw
87168,87168,52.84299,-27.84327,86.441,301.8,208.3,4.84,0.002226,15,45,0.003,0.762,46,aless49,allspw
87179,87179,52.84324,-27.84907,86.9098,298.6,124.7,4.76,0.002179,15,56,0.001,0.724,57,aless49,allspw
87183,87183,52.84706,-27.83365,98.5819,250.0,346.9,4.75,0.001983,15,59,0.001,0.719,61,aless49,allspw
