RA_1,DEC_1,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID_1,source,window,ID_2,RA_2,DEC_2,VIMOS_U,MUSYC_U,MUSYC_U38,MUSYC_B,MUSYC_V,MUSYC_R,MUSYC_I,MUSYC_Z,MUSYC_J,HAWK_J,TENIS_J,MUSYC_H,MUSYC_K,HAWK_K,TENIS_K,SIMPLE_CH1,SIMPLE_CH2,SIMPLE_CH3,SIMPLE_CH4,VIMOS_UE,MUSYC_UE,MUSYC_U38E,MUSYC_BE,MUSYC_VE,MUSYC_RE,MUSYC_IE,MUSYC_ZE,MUSYC_JE,HAWK_JE,TENIS_JE,MUSYC_HE,MUSYC_KE,HAWK_KE,TENIS_KE,SIMPLE_CH1E,SIMPLE_CH2E,SIMPLE_CH3E,SIMPLE_CH4E,zphot,zlo,zhi,Mh,wb_obs,wb_det,GroupID,GroupSize,Separation
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1.0,1.0,4,aless112,spw2123,58820,53.2011633,-27.5192632,25.57099309378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453037294089683,22.227283005168452,22.21846968190389,21.760779609254236,0.0271159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436802,0.0488565,0.213343,0.0745318,3.2,2.305,3.255,-24.03,5,5,2,3,8.650994374247313
53.21329,-27.52038,101.1791,231.7,512.3,6.63,0.005603,9,3,0.977,1.0,7,aless112,spw2123,58549,53.2132329,-27.5229878,23.94899309378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.142037294089683,22.371283005168454,999.0,22.207779609254235,0.00614652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032964,0.055611,0.0,0.110617,2.795,1.367,3.223,-23.53,5,4,3,3,9.389849767246206
53.21129,-27.52205,103.9138,289.8,457.8,6.04,0.004079,5,4,0.718,0.969,8,aless112,spw2123,58549,53.2132329,-27.5229878,23.94899309378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.142037294089683,22.371283005168454,999.0,22.207779609254235,0.00614652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032964,0.055611,0.0,0.110617,2.795,1.367,3.223,-23.53,5,4,3,3,7.062121828974593
53.21129,-27.52205,103.9138,289.8,457.8,6.04,0.004079,5,4,0.718,0.969,8,aless112,spw2123,58429,53.2103734,-27.5244382,26.22499309378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.496037294089682,19.183283005168448,18.85246968190389,18.616779609254237,0.0490249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029219,0.00302361,0.0105665,0.00425483,2.9,2.19,3.308,-26.78,5,5,3,3,9.081883514238719
53.197,-27.52418,90.2757,704.4,387.9,6.08,0.00512,9,0,0.867,1.0,9,aless112,spw1719,58236,53.1962803,-27.526747,24.84499309378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88703729408968,23.661283005168453,999.0,22.386779609254233,0.0139785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0645182,0.172715,0.0,0.129305,3.2,2.46,3.275,-23.44,5,4,,,9.522548875984405
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1.0,1.0,10,aless17,spw1719,29082,53.0296071,-27.8581361,26.818993093783877,999.0,999.0,26.204071213423134,25.738071213423133,999.0,999.0,999.0,999.0,999.0,23.786893521334655,999.0,999.0,22.872046,22.613453612195702,22.19803729408968,22.069283005168455,21.64846968190389,22.044779609254235,0.0833827,0.0,0.0,0.199185,0.160185,0.0,0.0,0.0,0.0,0.0,0.108724,0.0,0.0,0.0882717,0.0648726,0.0346813,0.0423672,0.131202,0.0958563,2.025,1.893,2.211,-22.9,15,9,4,5,9.11905925840801
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1.0,1.0,10,aless17,spw1719,29410,53.0308972,-27.8540978,27.40199309378388,999.0,999.0,26.24207121342313,26.072071213423133,999.0,999.0,24.113071213423133,999.0,23.257046,22.993893521334655,22.910071213423134,999.0,22.246046,22.103453612195704,21.63103729408968,21.554283005168454,21.50846968190389,22.146779609254235,0.138984,0.0,0.0,0.205647,0.212545,0.0,0.0,0.239895,0.0,0.0841139,0.0537355,0.210588,0.0,0.0504733,0.0410084,0.0207063,0.0265588,0.116147,0.104856,1.415,1.29,1.586,-22.56,15,11,4,5,6.058227782494851
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1.0,1.0,10,aless17,spw1719,29256,53.0295414,-27.8555145,23.176993093783878,23.459071213423133,23.303071213423134,22.98107121342313,22.923071213423132,22.736071213423134,22.31207121342313,21.99207121342313,21.794071213423134,21.736046,21.638893521334655,21.44307121342313,21.590071213423133,21.366046,21.218453612195702,20.97703729408968,20.965283005168452,21.03946968190389,21.216779609254235,0.00302311,0.0210643,0.0424136,0.0111754,0.0128376,0.0226969,0.032956,0.0374094,0.071842,0.0213366,0.0157003,0.0585687,0.128129,0.0227322,0.0183412,0.011386,0.0155176,0.0768057,0.0457665,1.305,1.222,1.364,-23.0,15,15,4,5,3.4833592450656545
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1.0,1.0,10,aless17,spw1719,29306,53.0305348,-27.8557579,25.00099309378388,25.047071213423134,25.250071213423134,24.403071213423132,24.159071213423132,23.743071213423132,23.01007121342313,22.855071213423134,21.572071213423133,21.760046,21.608893521334657,21.276071213423133,20.906071213423132,20.808046,20.603453612195704,19.93703729408968,19.74728300516845,19.766469681903885,19.934779609254235,0.0161224,0.0881491,0.233013,0.0408421,0.0395833,0.0564895,0.0618463,0.0811616,0.0589102,0.0218087,0.0152754,0.0504093,0.0701173,0.0136541,0.0104474,0.00438301,0.00507825,0.0243648,0.0142586,1.5,1.428,1.612,-24.46,15,15,4,5,0.20765987335193895
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1.0,1.0,10,aless17,spw1719,29344,53.0320688,-27.8551141,24.42499309378388,24.802071213423133,24.55607121342313,24.180071213423133,23.944071213423133,23.215071213423133,22.947071213423133,22.744071213423133,22.675071213423134,22.608046,22.493893521334655,22.441071213423132,22.43707121342313,22.238046,22.204453612195703,22.32103729408968,22.465283005168452,21.83146968190389,22.648779609254234,0.00951382,0.07091,0.12916,0.0333741,0.0325778,0.0350816,0.0584519,0.073535,0.155508,0.0470707,0.0342131,0.141277,0.262305,0.0501112,0.0449246,0.038768,0.0605026,0.153657,0.162075,0.54,0.486,0.645,-19.92,15,15,4,5,5.2213311639925095
