RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.21555,-27.52495,104.3045,166.1,362.8,5.27,0.007148,19,13,0.101,0.83,59,aless112,spw2123
53.19054,-27.51956,101.0385,892,539.2,5.25,0.004239,7,14,0.092,0.662,60,aless112,spw2123
53.20526,-27.51203,104.5076,464.8,785.6,5.25,0.003259,5,15,0.092,0.671,61,aless112,spw2123
53.19756,-27.52716,104.242,688.1,290.5,5.25,0.003371,5,16,0.092,0.671,62,aless112,spw2123
53.20131,-27.51807,103.1325,579.3,588.1,5.24,0.003383,5,17,0.088,0.665,63,aless112,spw2123
53.19646,-27.52921,104.6483,720.1,223.5,5.24,0.003334,5,18,0.088,0.665,64,aless112,spw2123
53.19576,-27.52674,104.0857,740.5,304.3,5.18,0.005312,11,19,0.067,0.601,65,aless112,spw2123
53.1979,-27.51669,101.9917,678.4,633,5.14,0.006219,19,20,0.056,0.752,66,aless112,spw2123
53.19163,-27.52413,101.8042,860.4,389.7,5.12,0.005568,15,23,0.051,0.703,67,aless112,spw2123
53.20366,-27.52379,101.3979,511.2,400.7,5.1,0.005862,15,24,0.046,0.691,68,aless112,spw2123
53.21035,-27.51857,102.2417,317.1,571.7,5.01,0.006192,19,35,0.028,0.658,69,aless112,spw2123
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1,1,70,aless17,spw1719
53.01681,-27.85523,90.9633,906.5,530.3,5.29,0.005488,15,2,0,0.999,71,aless17,spw1719
53.02205,-27.86041,92.2916,754.8,360.8,5.23,0.005586,15,4,0,0.997,72,aless17,spw1719
53.0378,-27.86383,91.5415,299.3,248.9,5.09,0.00324,7,8,0,0.633,73,aless17,spw1719
53.04239,-27.85592,90.307,166.2,507.9,5.08,0.003712,7,9,0,0.628,74,aless17,spw1719
53.03291,-27.86185,91.4009,440.5,313.8,5.07,0.0042,11,10,0,0.693,75,aless17,spw1719
53.02972,-27.85993,91.1352,532.8,376.7,5.04,0.004214,11,13,0,0.664,76,aless17,spw1719
53.02777,-27.86192,89.885,589.3,311.7,5.04,0.002045,7,12,0,0.608,77,aless17,spw1719
53.02698,-27.86448,92.0259,612.1,227.9,5.03,0.004336,11,14,0,0.654,78,aless17,spw1719
53.04187,-27.85256,91.0727,181.3,617.8,4.98,0.004957,15,18,0,0.948,79,aless17,spw1719
53.01652,-27.85714,91.854,914.9,467.8,4.91,0.004993,15,26,0,0.905,80,aless17,spw1719
53.02832,-27.85642,92.526,573.5,491.5,4.8,0.005284,15,40,0,0.793,81,aless17,spw1719
53.03333,-27.85175,91.7603,428.5,644.2,4.8,0.005015,15,43,0,0.793,82,aless17,spw1719
53.02814,-27.85256,101.1791,578.8,617.7,5.71,0.004846,9,0,0.213,0.822,83,aless17,spw2123
53.03501,-27.84492,101.476,379.7,867.8,5.66,0.006826,17,1,0.172,0.841,84,aless17,spw2123
53.02218,-27.86257,102.7105,751.1,290.2,5.51,0.002586,3,2,0.081,0.71,85,aless17,spw2123
53.03237,-27.86179,103.9294,456.2,315.9,5.4,0.004329,7,3,0.042,0.645,86,aless17,spw2123
53.03144,-27.85481,102.1948,483.3,544.1,5.38,0.006224,17,4,0.036,0.665,87,aless17,spw2123
53.07489,-27.8759,84.922,511.3,513.4,7.55,0.005563,9,0,1,1,88,aless34,spw1719
53.07754,-27.8839,85.3283,434.6,251.5,5.88,0.003594,7,1,0.352,0.929,89,aless34,spw1719
53.08102,-27.87655,84.5938,333.9,492.2,5.86,0.006047,19,2,0.329,0.972,90,aless34,spw1719
53.07719,-27.87992,86.2502,444.9,381.7,5.45,0.002748,5,6,0.044,0.653,91,aless34,spw1719
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1,1,92,aless34,spw2123
53.07362,-27.87172,97.032,548.1,650,8.42,0.00599,11,1,1,1,93,aless34,spw2123
53.0751,-27.8791,97.0476,505.2,408.6,8.33,0.004659,7,2,1,1,94,aless34,spw2123
53.06985,-27.87901,97.032,657,411.7,8.29,0.005312,9,3,1,1,95,aless34,spw2123
53.07569,-27.87513,97.032,488.3,538.6,8.14,0.006303,13,4,1,1,96,aless34,spw2123
53.07502,-27.87383,97.0633,507.5,581,8.05,0.005124,9,5,1,1,97,aless34,spw2123
53.07502,-27.87541,97.0633,507.5,529.5,8.02,0.006158,13,6,1,1,98,aless34,spw2123
53.07306,-27.87339,97.0476,564.3,595.6,7.88,0.006523,15,7,1,1,99,aless34,spw2123
53.07425,-27.87337,97.0633,530,596.2,7.76,0.006406,15,8,1,1,100,aless34,spw2123
53.07418,-27.87732,97.0789,531.8,467,7.59,0.005347,11,9,1,1,101,aless34,spw2123
53.07245,-27.87718,97.0633,581.9,471.5,7.43,0.006538,17,10,0.999,1,102,aless34,spw2123
53.07483,-27.87439,97.0789,513,562.8,7.24,0.006357,17,11,0.997,1,103,aless34,spw2123
