RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.15287,-27.58473,97.5633,499.7,411.2,16.75,0.008012,5,15,1.0,1.0,106,aless62,spw2123
53.15102,-27.57982,97.5477,553.1,571.8,16.48,0.016768,19,16,1.0,1.0,107,aless62,spw2123
53.15137,-27.58026,97.6571,543.1,557.6,16.41,0.015858,17,17,1.0,1.0,108,aless62,spw2123
53.14775,-27.58121,97.5321,648.0,526.5,16.4,0.011,9,18,1.0,1.0,109,aless62,spw2123
53.14897,-27.58108,97.5321,612.8,530.8,16.18,0.01643,19,19,1.0,1.0,110,aless62,spw2123
53.15151,-27.58179,97.579,538.9,507.6,16.06,0.007687,5,20,1.0,1.0,111,aless62,spw2123
53.15606,-27.58055,97.5321,407.1,547.9,15.87,0.01405,15,22,1.0,1.0,113,aless62,spw2123
53.15254,-27.58097,97.6415,509.1,534.2,15.7,0.009462,7,23,1.0,1.0,114,aless62,spw2123
53.15058,-27.58431,97.6571,565.9,424.8,15.66,0.014154,15,24,1.0,1.0,115,aless62,spw2123
53.15026,-27.58366,97.6571,575.4,446.2,15.19,0.012751,13,25,1.0,1.0,116,aless62,spw2123
53.15279,-27.57781,97.5164,501.9,637.6,14.88,0.014067,17,26,1.0,1.0,117,aless62,spw2123
53.1501,-27.58005,97.5164,579.9,564.2,14.37,0.011632,13,27,1.0,1.0,118,aless62,spw2123
53.15675,-27.58067,97.5164,387.1,544.1,13.96,0.009291,9,28,1.0,1.0,119,aless62,spw2123
53.15435,-27.57905,97.6571,456.5,597.2,13.81,0.008285,7,29,1.0,1.0,120,aless62,spw2123
53.15591,-27.58276,97.5164,411.5,475.8,13.78,0.007978,7,30,1.0,1.0,121,aless62,spw2123
53.15037,-27.58055,97.6727,572.0,548.1,13.62,0.011421,13,32,1.0,1.0,123,aless62,spw2123
53.15379,-27.58266,97.5946,473.1,478.8,13.33,0.004613,3,33,1.0,1.0,124,aless62,spw2123
53.14918,-27.58045,97.6883,606.7,551.4,12.95,0.011758,15,34,1.0,1.0,125,aless62,spw2123
53.15379,-27.58408,97.4852,473.0,432.5,12.53,0.011666,17,35,1.0,1.0,126,aless62,spw2123
53.14933,-27.58215,97.5008,602.3,495.6,12.5,0.010114,13,36,1.0,1.0,127,aless62,spw2123
53.15153,-27.58117,97.6883,538.5,527.6,12.16,0.0102,13,37,1.0,1.0,128,aless62,spw2123
53.15096,-27.58084,97.6883,554.9,538.6,11.3,0.008638,11,39,1.0,1.0,130,aless62,spw2123
53.15446,-27.58499,97.7352,453.6,402.7,11.2,0.011552,19,40,1.0,1.0,131,aless62,spw2123
53.14997,-27.58352,97.4852,583.8,450.8,10.88,0.008774,13,41,1.0,1.0,132,aless62,spw2123
53.15278,-27.58159,97.4539,502.3,513.8,10.67,0.010408,19,42,1.0,1.0,133,aless62,spw2123
53.15081,-27.57954,97.7509,559.4,581.1,10.04,0.010323,19,43,1.0,1.0,134,aless62,spw2123
53.15337,-27.58322,97.4383,485.0,460.8,9.52,0.009202,19,44,1.0,1.0,135,aless62,spw2123
53.15094,-27.58262,97.7665,555.5,480.2,8.91,0.009112,19,45,1.0,1.0,136,aless62,spw2123
53.14974,-27.58122,97.7509,590.3,526.1,7.77,0.007032,15,46,1.0,1.0,137,aless62,spw2123
53.15322,-27.5823,97.6883,489.5,490.6,6.31,0.002224,3,47,0.995,0.997,138,aless62,spw2123
53.15913,-27.58604,87.0472,318.0,368.3,6.08,0.00493,15,0,0.908,0.915,139,aless62,spw1719
53.21772,-27.59059,84.6876,514.4,514.3,10.18,0.007162,9,0,1.0,1.0,140,aless65,spw1719
53.2181,-27.58463,84.7813,503.5,709.2,6.12,0.003109,5,2,0.757,0.958,142,aless65,spw1719
53.3857,-27.90539,97.3601,436.6,423.0,11.48,0.00642,7,0,1.0,1.0,143,aless66,spw2123
53.38384,-27.90375,97.3445,490.1,476.9,11.33,0.006412,7,1,1.0,1.0,144,aless66,spw2123
53.38587,-27.90331,97.3445,431.7,491.3,11.18,0.007273,9,2,1.0,1.0,145,aless66,spw2123
53.38268,-27.90063,97.3601,523.8,579.1,11.14,0.007205,9,3,1.0,1.0,146,aless66,spw2123
53.38333,-27.90276,97.3601,505.1,509.1,11.13,0.005102,5,4,1.0,1.0,147,aless66,spw2123
53.38385,-27.90473,97.3758,490.1,444.6,10.68,0.005931,7,5,1.0,1.0,148,aless66,spw2123
53.38401,-27.90232,97.3601,485.2,523.8,10.59,0.007666,11,6,1.0,1.0,149,aless66,spw2123
53.383,-27.90193,97.3758,514.4,536.5,10.58,0.00681,9,7,1.0,1.0,150,aless66,spw2123
53.38307,-27.90525,97.3289,512.7,427.6,10.25,0.008073,13,8,1.0,1.0,151,aless66,spw2123
53.38508,-27.90494,97.3758,454.5,437.8,10.23,0.004652,5,9,1.0,1.0,152,aless66,spw2123
53.38342,-27.90581,97.3445,502.5,409.5,10.12,0.00799,13,10,1.0,1.0,153,aless66,spw2123
53.38628,-27.90445,97.3758,419.6,453.9,10.1,0.007281,11,11,1.0,1.0,154,aless66,spw2123
53.38177,-27.89934,97.3133,550.0,621.0,9.67,0.008215,15,12,1.0,1.0,155,aless66,spw2123
53.38068,-27.90397,97.3133,581.7,469.5,9.55,0.004425,5,13,1.0,1.0,156,aless66,spw2123
53.38447,-27.90357,97.3289,472.1,482.8,9.5,0.003178,3,14,1.0,1.0,157,aless66,spw2123
53.38084,-27.90341,97.2976,577.0,487.8,9.3,0.007323,13,15,1.0,1.0,158,aless66,spw2123
53.38495,-27.9026,97.2976,458.0,514.5,9.3,0.00667,11,16,1.0,1.0,159,aless66,spw2123
53.38095,-27.90021,97.3133,574.0,592.8,9.22,0.008352,17,17,1.0,1.0,160,aless66,spw2123
53.37948,-27.90418,97.2976,616.3,462.6,9.12,0.00825,17,18,1.0,1.0,161,aless66,spw2123
53.38463,-27.89932,97.282,467.4,621.9,8.98,0.0081,17,19,1.0,1.0,162,aless66,spw2123
53.38109,-27.90284,97.3445,569.7,506.6,8.94,0.008102,17,20,1.0,1.0,163,aless66,spw2123
53.38594,-27.90232,97.3914,429.4,523.6,8.65,0.003937,5,21,1.0,1.0,164,aless66,spw2123
53.38247,-27.90306,97.282,529.8,499.5,8.27,0.005884,11,22,1.0,1.0,165,aless66,spw2123
53.38351,-27.90198,97.2508,499.8,534.8,7.95,0.007576,19,23,1.0,1.0,166,aless66,spw2123
