RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.7909,-27.87371,88.4098,200.5,234.6,5.81,0.002358,19,30,1,1,61,aless41,allspw
52.79093,-27.87377,85.0973,200.2,233.7,5.81,0.003227,19,31,1,1,62,aless41,allspw
52.79087,-27.87372,100.0195,201,234.4,5.75,0.003313,19,32,1,1,63,aless41,allspw
52.79095,-27.87374,86.3004,200,234.2,5.75,0.002999,19,33,1,1,64,aless41,allspw
52.79095,-27.87372,85.2066,199.9,234.4,5.71,0.003234,19,34,1,1,65,aless41,allspw
52.79085,-27.87368,97.1913,201.2,234.9,5.61,0.00297,19,35,1,1,66,aless41,allspw
52.79085,-27.87376,97.5975,201.3,233.9,5.6,0.00327,19,36,0.999,1,67,aless41,allspw
52.79076,-27.87375,97.8788,202.4,234,5.59,0.002848,19,37,0.998,1,68,aless41,allspw
52.79093,-27.87372,99.5663,200.2,234.4,5.57,0.003399,19,39,0.992,1,69,aless41,allspw
52.79089,-27.87372,98.6601,200.7,234.4,5.56,0.002783,17,40,0.985,0.892,70,aless41,allspw
52.79092,-27.87375,85.441,200.3,234,5.56,0.003275,19,41,0.985,1,71,aless41,allspw
52.79085,-27.87367,85.941,201.2,235.2,5.48,0.003047,19,43,0.648,1,72,aless41,allspw
52.85295,-27.84637,87.6598,175,163.6,25.14,0.013938,13,0,1,1,73,aless49,allspw
52.85291,-27.84637,87.7692,175.5,163.7,19.64,0.011894,19,1,1,1,74,aless49,allspw
52.85295,-27.84639,87.5504,175,163.4,18.27,0.010307,19,2,1,1,75,aless49,allspw
52.85286,-27.84638,87.8786,176.1,163.5,7.3,0.004009,19,3,1,1,76,aless49,allspw
52.85292,-27.8464,87.4411,175.3,163.2,7.18,0.003613,19,4,1,1,77,aless49,allspw
52.85292,-27.84546,87.9879,175.4,176.8,6.16,0.002551,11,5,0.954,1,78,aless49,allspw
52.86092,-27.85384,98.9413,73.6,56.2,5.96,0.00156,5,6,0.842,0.957,79,aless49,allspw
52.937,-27.7403,97.6415,535,533.4,6.15,0.002949,5,0,0.808,0.997,80,aless51,spw2123
52.93681,-27.73884,97.6415,540.3,581.2,6.09,0.003509,7,1,0.77,1,81,aless51,spw2123
52.94024,-27.73993,97.6258,440.9,545.6,5.94,0.002821,5,2,0.658,0.967,82,aless51,spw2123
52.93469,-27.74471,98.626,601.7,388.9,5.89,0.004489,11,3,0.617,0.983,83,aless51,spw2123
52.93893,-27.74125,97.6258,478.8,502.3,5.89,0.003364,7,4,0.617,0.979,84,aless51,spw2123
