RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.79086,-27.87375,88.0817,201.1,234.0,7.21,0.003935,19,16,1.0,1.0,47,aless41,allspw
52.79081,-27.87382,87.4567,201.7,233.0,7.12,0.003469,19,17,1.0,1.0,48,aless41,allspw
52.7908,-27.87371,97.9882,201.8,234.6,7.04,0.003687,19,18,1.0,1.0,49,aless41,allspw
52.79086,-27.87372,100.1289,201.1,234.5,6.87,0.00377,19,19,1.0,1.0,50,aless41,allspw
52.79091,-27.87377,85.5973,200.4,233.8,6.71,0.003972,19,20,1.0,1.0,51,aless41,allspw
52.79088,-27.87372,86.7848,200.9,234.4,6.55,0.003034,19,21,1.0,1.0,52,aless41,allspw
52.79089,-27.87375,87.9567,200.7,234.0,6.54,0.003434,19,22,1.0,1.0,53,aless41,allspw
52.79097,-27.87373,86.4254,199.7,234.3,6.3,0.003368,19,23,1.0,1.0,54,aless41,allspw
52.79085,-27.87369,98.2382,201.3,234.9,6.29,0.003543,19,24,1.0,1.0,55,aless41,allspw
52.79091,-27.87373,99.6913,200.4,234.3,6.15,0.003489,17,25,1.0,0.986,56,aless41,allspw
52.7909,-27.87373,86.9254,200.6,234.3,6.15,0.003253,19,26,1.0,1.0,57,aless41,allspw
52.79091,-27.87383,86.5348,200.4,232.9,6.12,0.003118,19,27,1.0,1.0,58,aless41,allspw
52.79084,-27.87377,100.2382,201.4,233.8,6.1,0.002536,19,28,1.0,1.0,59,aless41,allspw
52.79087,-27.87381,97.7225,201.0,233.1,5.82,0.003088,19,29,1.0,1.0,60,aless41,allspw
52.7909,-27.87371,88.4098,200.5,234.6,5.81,0.002358,19,30,1.0,1.0,61,aless41,allspw
52.79093,-27.87377,85.0973,200.2,233.7,5.81,0.003227,19,31,1.0,1.0,62,aless41,allspw
52.79087,-27.87372,100.0195,201.0,234.4,5.75,0.003313,19,32,1.0,1.0,63,aless41,allspw
52.79095,-27.87374,86.3004,200.0,234.2,5.75,0.002999,19,33,1.0,1.0,64,aless41,allspw
52.79095,-27.87372,85.2066,199.9,234.4,5.71,0.003234,19,34,1.0,1.0,65,aless41,allspw
52.79085,-27.87368,97.1913,201.2,234.9,5.61,0.00297,19,35,1.0,1.0,66,aless41,allspw
52.79085,-27.87376,97.5975,201.3,233.9,5.6,0.00327,19,36,0.999,1.0,67,aless41,allspw
52.79076,-27.87375,97.8788,202.4,234.0,5.59,0.002848,19,37,0.998,1.0,68,aless41,allspw
52.79093,-27.87372,99.5663,200.2,234.4,5.57,0.003399,19,39,0.992,1.0,69,aless41,allspw
52.79089,-27.87372,98.6601,200.7,234.4,5.56,0.002783,17,40,0.985,0.892,70,aless41,allspw
52.79092,-27.87375,85.441,200.3,234.0,5.56,0.003275,19,41,0.985,1.0,71,aless41,allspw
52.79085,-27.87367,85.941,201.2,235.2,5.48,0.003047,19,43,0.648,1.0,72,aless41,allspw
52.85295,-27.84637,87.6598,175.0,163.6,25.14,0.013938,13,0,1.0,1.0,73,aless49,allspw
52.85291,-27.84637,87.7692,175.5,163.7,19.64,0.011894,19,1,1.0,1.0,74,aless49,allspw
52.85295,-27.84639,87.5504,175.0,163.4,18.27,0.010307,19,2,1.0,1.0,75,aless49,allspw
52.85286,-27.84638,87.8786,176.1,163.5,7.3,0.004009,19,3,1.0,1.0,76,aless49,allspw
52.85292,-27.8464,87.4411,175.3,163.2,7.18,0.003613,19,4,1.0,1.0,77,aless49,allspw
53.15219,-27.58151,97.579,519.3,516.4,20.6,0.015951,11,0,1.0,1.0,91,aless62,spw2123
53.15287,-27.58473,97.5633,499.7,411.2,16.75,0.008012,5,15,1.0,1.0,106,aless62,spw2123
53.15258,-27.5848,97.6727,507.9,408.9,15.96,0.016439,19,21,1.0,1.0,112,aless62,spw2123
53.1521,-27.58154,97.6883,521.8,515.7,13.78,0.013408,17,31,1.0,1.0,122,aless62,spw2123
53.15211,-27.58146,97.4696,521.8,518.3,11.91,0.011701,19,38,1.0,1.0,129,aless62,spw2123
53.21772,-27.59059,84.6876,514.4,514.3,10.18,0.007162,9,0,1.0,1.0,140,aless65,spw1719
53.21783,-27.5906,84.5782,511.2,513.9,7.36,0.007598,19,1,1.0,1.0,141,aless65,spw1719
53.38333,-27.90276,97.3601,505.1,509.1,11.13,0.005102,5,4,1.0,1.0,147,aless66,spw2123
53.38495,-27.9026,97.2976,458.0,514.5,9.3,0.00667,11,16,1.0,1.0,159,aless66,spw2123
53.38346,-27.9027,97.2508,501.4,511.2,7.54,0.006777,17,25,1.0,1.0,168,aless66,spw2123
53.38516,-27.9025,97.4539,452.2,517.7,7.19,0.006977,19,26,1.0,1.0,169,aless66,spw2123
53.23729,-28.01693,103.6325,514.3,510.9,14.71,0.020075,19,0,1.0,1.0,176,aless6,spw2123
53.2373,-28.01688,103.5231,513.9,512.4,11.34,0.015151,19,1,1.0,1.0,177,aless6,spw2123
53.23728,-28.01691,103.7419,514.6,511.5,9.9,0.013449,19,2,1.0,1.0,178,aless6,spw2123
53.23732,-28.01691,103.4137,513.5,511.4,7.19,0.009729,19,3,0.997,1.0,179,aless6,spw2123
53.27353,-27.55791,97.9448,194.1,169.7,13.61,0.019295,11,0,1.0,1.0,180,aless71,allspw
53.27351,-27.55791,98.0542,194.4,169.7,10.23,0.017474,19,1,1.0,1.0,181,aless71,allspw
53.27359,-27.55795,97.8354,193.5,169.1,10.16,0.018476,19,2,1.0,1.0,182,aless71,allspw
53.27369,-27.558,97.7261,192.2,168.4,5.83,0.009995,19,5,0.732,1.0,183,aless71,allspw
52.86326,-27.93091,97.3475,178.9,197.6,27.3,0.016376,13,0,1.0,1.0,184,aless75,allspw
52.8633,-27.93093,97.2381,178.4,197.2,21.7,0.013495,19,1,1.0,1.0,185,aless75,allspw
52.86321,-27.93089,97.4569,179.5,197.8,21.22,0.013288,19,2,1.0,1.0,186,aless75,allspw
52.86321,-27.93084,97.5663,179.5,198.6,7.28,0.003839,19,4,1.0,1.0,188,aless75,allspw
53.21193,-27.52823,104.3276,192.3,198.9,12.16,0.009057,17,0,1.0,1.0,189,aless87,allspw
53.21193,-27.52824,104.437,192.3,198.7,10.63,0.008106,19,1,1.0,1.0,190,aless87,allspw
53.21194,-27.52823,104.2183,192.2,199.0,8.38,0.006552,19,2,1.0,1.0,191,aless87,allspw
53.21853,-27.5303,104.3276,108.0,169.1,8.25,0.004878,11,3,1.0,1.0,192,aless87,allspw
53.21192,-27.52826,104.5464,192.4,198.4,6.26,0.004428,19,4,0.959,1.0,193,aless87,allspw
53.21847,-27.53028,104.437,108.8,169.4,5.82,0.004443,19,6,0.673,0.992,195,aless87,allspw
52.97842,-27.89482,104.4607,506.0,514.1,10.89,0.010594,19,0,1.0,1.0,196,aless88,spw2123
52.97844,-27.89477,104.5701,505.4,515.8,9.35,0.007983,15,1,1.0,1.0,197,aless88,spw2123
52.97827,-27.89489,104.3513,510.1,511.9,8.95,0.004064,5,2,1.0,1.0,198,aless88,spw2123
52.97819,-27.89475,104.6795,512.5,516.4,5.93,0.005076,19,5,0.724,0.998,201,aless88,spw2123
52.87426,-27.95636,97.1258,524.5,511.7,25.02,0.023064,15,2,1.0,1.0,205,aless98,spw2123
52.87485,-27.95581,97.157,507.5,529.5,22.94,0.020562,15,9,1.0,1.0,212,aless98,spw2123
52.87624,-27.95555,97.2039,467.0,538.0,20.02,0.019754,19,20,1.0,1.0,223,aless98,spw2123
52.87541,-27.95621,97.0476,491.3,516.6,19.88,0.015092,11,21,1.0,1.0,224,aless98,spw2123
52.87558,-27.95602,97.1883,486.3,522.7,18.69,0.012436,9,26,1.0,1.0,229,aless98,spw2123
52.87494,-27.95674,97.032,504.6,499.2,17.3,0.008344,5,30,1.0,1.0,233,aless98,spw2123
52.87418,-27.95661,97.0164,526.8,503.3,16.53,0.012425,11,35,1.0,1.0,238,aless98,spw2123
52.87476,-27.95671,97.1414,510.0,500.1,15.53,0.007291,5,37,1.0,1.0,240,aless98,spw2123
52.87464,-27.9565,97.2664,513.3,507.1,13.22,0.011882,17,45,1.0,1.0,248,aless98,spw2123
52.87496,-27.95591,97.2977,504.2,526.2,10.61,0.009496,17,50,1.0,1.0,253,aless98,spw2123
52.87612,-27.95539,96.9539,470.6,543.4,10.57,0.009243,15,51,1.0,1.0,254,aless98,spw2123
52.87527,-27.95643,96.9226,495.1,509.4,7.07,0.006153,15,60,1.0,1.0,263,aless98,spw2123
52.8759,-27.95555,97.3445,476.8,538.0,6.73,0.006337,19,61,1.0,1.0,264,aless98,spw2123
34.32117,-5.55735,96.1085,176.9,196.3,28.36,0.024839,7,0,1.0,1.0,266,uds306,allspw
34.32115,-5.55737,95.9991,177.3,196.1,25.57,0.032723,19,1,1.0,1.0,267,uds306,allspw
34.32115,-5.55735,96.2179,177.2,196.3,22.78,0.026677,19,2,1.0,1.0,268,uds306,allspw
34.32154,-5.559,95.7023,171.7,172.7,15.88,0.012694,11,3,1.0,1.0,269,uds306,allspw
34.32154,-5.55899,95.5929,171.7,172.7,11.88,0.010914,19,4,1.0,1.0,270,uds306,allspw
34.3211,-5.55741,95.8898,178.0,195.5,11.55,0.010027,19,5,1.0,1.0,271,uds306,allspw
