RA_1,DEC_1,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window,RA_2,DEC_2,VIMOS_U,MUSYC_U,MUSYC_U38,MUSYC_B,MUSYC_V,MUSYC_R,MUSYC_I,MUSYC_Z,MUSYC_J,HAWK_J,TENIS_J,MUSYC_H,MUSYC_K,HAWK_K,TENIS_K,SIMPLE_CH1,SIMPLE_CH2,SIMPLE_CH3,SIMPLE_CH4,VIMOS_UE,MUSYC_UE,MUSYC_U38E,MUSYC_BE,MUSYC_VE,MUSYC_RE,MUSYC_IE,MUSYC_ZE,MUSYC_JE,HAWK_JE,TENIS_JE,MUSYC_HE,MUSYC_KE,HAWK_KE,TENIS_KE,SIMPLE_CH1E,SIMPLE_CH2E,SIMPLE_CH3E,SIMPLE_CH4E,zphot,zlo,zhi,Mh,wb_obs,wb_det,Separation
53.19127,-28.00645,85.3126,509,514.2,7.85,0.005567,9,0,1,1,89,aless61,spw1719,53.1912264,-28.0065472,999,999,999,999,999,999,24.415071213423133,23.886071213423133,999,0,22.956893521334656,999,999,22.687046,22.461453612195704,22.64403729408968,22.409283005168454,999,21.754779609254236,0,0,0,0,0,0,0.210372,0.198508,0,0,0.0519775,0,0,0.0749079,0.0566146,0.0518838,0.0575402,0,0.0741347,6.38501,6.007,6.699,-25.34,15,7,0.37636175693650287
53.15219,-27.58151,97.579,519.3,516.4,20.6,0.015951,11,0,1,1,91,aless62,spw2123,53.1521894,-27.5815163,26.112993093783878,26.227071213423134,999,25.252071213423132,24.79207121342313,24.140071213423134,23.156071213423132,23.134071213423134,21.91707121342313,0,22.014893521334656,0,20.558071213423133,0,20.501453612195704,19.51203729408968,19.33828300516845,19.473469681903886,19.480779609254235,0.0443165,0.242927,0,0.08736,0.0699189,0.0805213,0.0704649,0.103837,0.0801489,0,0.0221319,0,0.0513353,0,0.00951472,0.00296522,0.00348685,0.0186513,0.00940698,1.3,1.188,1.423,-24.53,14,13,0.022760663351110707
53.15333,-27.58121,97.579,486.3,526.5,20.28,0.017226,13,1,1,1,92,aless62,spw2123,53.153312,-27.5812379,24.475993093783877,24.736071213423134,24.715071213423133,23.906071213423132,23.41407121342313,22.648071213423133,21.695071213423134,21.590071213423133,20.99207121342313,20.901046,20.765893521334657,0,19.896071213423134,0,19.781453612195705,19.621037294089682,20.034283005168454,20.001469681903888,20.295779609254236,0.00996928,0.066854,0.148197,0.0260188,0.0201106,0.0209468,0.0187922,0.0259705,0.034916,0.00994053,0.00705409,0,0.0282015,0,0.00491267,0.00327789,0.0066101,0.0301715,0.0198317,0.72,0.651,0.773,-23.13,14,14,0.11570249706471955
53.15273,-27.58028,97.5946,503.7,556.9,19.55,0.017888,15,5,1,1,96,aless62,spw2123,53.1524671,-27.5802557,27.74499309378388,999,999,26.37007121342313,25.21307121342313,23.973071213423133,23.006071213423134,23.119071213423133,22.768071213423134,22.608046,22.330893521334655,0,21.862071213423132,21.985046,21.735453612195705,21.53503729408968,21.93028300516845,21.97546968190389,22.724779609254234,0.1864,0,0,0.228839,0.101529,0.0694002,0.0616252,0.102477,0.168389,0.0470707,0.0295079,0,0.162002,0.0398836,0.0293773,0.0189693,0.0373626,0.17379,0.172937,0.61,0.531,0.669,-20.71,14,12,0.8434383804742903
53.15438,-27.57977,97.579,455.7,573.5,18.24,0.010679,7,11,1,1,102,aless62,spw2123,53.1542361,-27.5799722,25.41399309378388,25.53607121342313,25.203071213423133,24.301071213423132,22.983071213423134,21.737071213423132,20.308071213423133,20.247071213423133,19.578071213423133,19.531046,19.447893521334656,0,18.715071213423133,0,18.632453612195704,18.614037294089684,19.15528300516845,19.31046968190389,19.988779609254234,0.0235044,0.135279,0.224092,0.0372419,0.0135624,0.00910108,0.00527093,0.00760261,0.00960514,0.0028238,0.00210006,0,0.00958529,0,0.00170749,0.00129775,0.00294673,0.0160704,0.0149807,0.69,0.645,0.704,-24.17,14,14,0.8606436814176708
53.14974,-27.58122,97.7509,590.3,526.1,7.77,0.007032,15,46,1,1,137,aless62,spw2123,53.1498245,-27.5811864,27.214993093783878,999,999,26.147071213423132,25.733071213423134,24.575071213423133,23.293071213423133,23.267071213423133,23.249071213423132,0,22.561893521334657,0,21.724071213423134,21.536046,21.501453612195704,21.07603729408968,21.449283005168454,21.63046968190389,21.632779609254236,0.118145,0,0,0.189837,0.159501,0.118108,0.079602,0.116665,0.252026,0,0.0363877,0,0.143889,0.0265385,0.0237434,0.0124668,0.0241376,0.129168,0.0664916,0.74,0.643,0.853,-21.67,14,12,0.29551871017677456
53.21772,-27.59059,84.6876,514.4,514.3,10.18,0.007162,9,0,1,1,140,aless65,spw1719,53.2178853,-27.5905694,26.87699309378388,999,999,26.293071213423133,25.737071213423132,999,999,23.752071213423132,999,999,999,0,999,999,999,23.20803729408968,23.737283005168454,999,22.414779609254236,0.0877779,0,0,0.21462,0.160048,0,0,0.177237,0,0,0,0,0,0,0,0.085855,0.184231,0,0.132485,2.61,2.283,2.74,-21.87,14,7,0.5325957342049517
53.38333,-27.90276,97.3601,505.1,509.1,11.13,0.005102,5,4,1,1,147,aless66,spw2123,53.3830919,-27.9029202,0,20.70207121342313,20.630071213423133,20.919071213423134,20.875071213423134,20.485071213423133,20.34107121342313,19.881071213423134,20.95207121342313,0,0,0,20.040071213423133,0,0,19.194037294089682,19.041283005168452,18.76946968190389,18.520779609254234,0,0.00167738,0.00368196,0.00168022,0.00195642,0.00288097,0.00543319,0.00543247,0.0336724,0,0,0,0.0321425,0,0,0.00221313,0.00265338,0.00979231,0.00389542,2.33,2.269,2.369,-26.32,13,13,0.9520637246199383
53.38177,-27.89934,97.3133,550,621,9.67,0.008215,15,12,1,1,155,aless66,spw2123,53.3819876,-27.8994327,0,999,999,23.804071213423132,22.901071213423133,21.85607121342313,21.171071213423133,19.573071213423134,23.237071213423132,0,0,0,20.869071213423133,0,0,22.99203729408968,23.755283005168454,21.03846968190389,999,0,0,0,0.0237111,0.0125816,0.0101504,0.0116362,0.00409322,0.249552,0,0,0,0.0678399,0,0,0.0708599,0.18706,0.0767374,0,3.805,3.765,3.865,-24.4,13,10,0.7685460061223082
53.38594,-27.90232,97.3914,429.4,523.6,8.65,0.003937,5,21,1,1,164,aless66,spw2123,53.3861485,-27.9020432,0,999,999,999,25.089071213423132,24.269071213423132,24.118071213423132,20.855071213423134,999,0,0,999,999,0,0,20.99003729408968,23.350283005168453,20.053469681903884,19.087779609254234,0,0,0,0,0.091017,0.0902684,0.16361,0.0132747,0,0,0,0,0,0,0,0.0115224,0.132197,0.0316303,0.00655874,6.90001,6.362,7,-29.54,14,8,1.1970771971798972
